id,lon,lat,value,category
site_000,118.74553437465605,31.911849128909548,77.3,high
site_001,118.75813014557671,32.01040268674094,65.51,high
site_002,118.75067995531401,31.905253057373518,81.55,high
site_003,118.78359773726099,32.00290853645391,55.36,low
site_004,118.75629214377965,31.9661575732863,77.59,high
site_005,118.80420248439258,32.01274301900834,51.63,low
site_006,118.78071655660088,31.926850070910845,81.35,high
site_007,118.70418284409229,31.942075246463364,56.33,medium
site_008,118.80729421799808,31.947074188154684,60.44,medium
site_009,118.82005917682332,31.97932895649904,53.03,low
site_010,118.876356892331,31.95436124830412,38.91,low
site_011,118.75647237515376,31.97775743750438,64.68,high
site_012,118.8058325899963,31.92841388564083,66.66,high
site_013,118.81924154155868,31.95461286871758,56.31,low
site_014,118.80875822881454,31.99890062428779,53.69,low
site_015,118.8461781662782,31.95785317675049,45.47,low
site_016,118.85080225542141,31.917789018319546,54.14,low
site_017,118.73525282831638,31.994614144277005,57.68,medium
site_018,118.7878536469007,31.92967545623225,81.0,high
site_019,118.87653398844093,31.925539585713555,54.55,low
site_020,118.75770472810319,31.918924367102104,77.88,high
site_021,118.81921358162083,32.03333065487425,61.12,medium
site_022,118.84918087792889,31.992526832453912,42.38,low
site_023,118.73352422374789,32.030748640629675,63.07,medium
site_024,118.79417316375356,32.01279946597969,57.1,medium
site_025,118.7579117836344,31.908382134407756,78.66,high
site_026,118.78565878505758,31.98793916429358,61.36,medium
site_027,118.79525049806153,31.96883138682104,66.58,high
site_028,118.72723282012745,31.997307228824692,67.67,high
site_029,118.78948960079066,31.90153433690363,79.83,high
site_030,118.71540332970284,31.91789997204392,61.35,medium
site_031,118.78721942825439,31.955067833648187,63.45,medium
site_032,118.83351680230892,31.943271991302236,57.14,medium
site_033,118.85342878478096,32.01382983735163,36.15,low
site_034,118.81506741040249,31.93601827358893,63.12,medium
site_035,118.75981178302341,31.96960944042197,67.99,high
site_036,118.8150122937464,31.97752048509248,52.74,low
site_037,118.70674847627859,31.925946117003907,63.77,high
site_038,118.78851416210402,32.017542094555424,61.47,medium
site_039,118.71622386831403,32.00513097041982,59.92,medium
site_040,118.74365185046084,32.03131014937523,66.02,high
site_041,118.85411566446746,31.95183702829083,55.85,low
site_042,118.7744104672006,31.94700904777703,80.54,high
site_043,118.76115121417509,31.98686296714328,62.13,medium
site_044,118.77132988027196,32.0029697831222,62.67,medium
site_045,118.73051614474178,31.942667280898238,65.97,high
site_046,118.73761308292816,31.96880902819931,64.92,high
site_047,118.8561860206067,31.90824213127256,52.98,low
site_048,118.85581822687885,31.995113930841168,40.56,low
site_049,118.84191830469311,31.92343786244413,60.7,medium
site_050,118.73080037566474,31.905676776964427,67.84,high
site_051,118.79213144930223,31.983344763087587,61.65,medium
site_052,118.87738843597968,32.02732440102941,33.74,low
site_053,118.81386821603313,32.01358806266323,51.07,low
site_054,118.73089636360599,32.028348623799054,46.44,low
site_055,118.79431157068008,32.03943723531831,59.66,medium
site_056,118.77361900198724,31.928209151630124,78.89,high
site_057,118.738786421299,31.960405012019738,73.39,high
site_058,118.79673142847082,32.033725884214626,62.07,medium
site_059,118.7998136721409,32.000830371085854,60.96,medium
site_060,118.72709557406147,31.97043665807639,59.91,medium
site_061,118.78177247807311,32.03811985587363,60.66,medium
site_062,118.84697597812557,32.03423745276609,39.17,low
site_063,118.74595867634609,31.996490853978113,63.23,medium
site_064,118.74236863311359,31.98538112143344,51.94,low
site_065,118.71017718505797,31.91548756527016,72.83,high
site_066,118.74961380439991,31.988895513458175,63.52,medium
site_067,118.762084149628,31.988394540881565,61.52,medium
site_068,118.86591654530663,31.906456714356004,51.86,low
site_069,118.73349676138787,32.03655352106621,55.53,low
site_070,118.8610243153636,31.931120067078094,54.47,low
site_071,118.86547923403288,31.958834820497675,29.44,low
site_072,118.80063075184349,31.960127257415873,69.72,high
site_073,118.72782501817414,31.958693556661366,60.42,medium
site_074,118.85189522285546,32.00739446938565,47.0,low
site_075,118.72735413188015,31.973085188010206,63.91,high
site_076,118.79640207525237,32.00204391075521,71.27,high
site_077,118.75016298050072,31.926351748521505,74.63,high
site_078,118.7814127581512,31.917319317667594,72.98,high
site_079,118.7530477187745,31.913935545323664,74.55,high
site_080,118.81779764166829,32.03490990331977,58.98,medium
site_081,118.84278553216099,31.93236381818132,68.68,high
site_082,118.78907209784349,31.97044446776773,54.35,low
site_083,118.79204025272517,31.97498007252362,54.98,low
site_084,118.84464053455021,31.933623193306882,49.89,low
site_085,118.85287067872133,31.948053547294688,60.12,medium
site_086,118.72616961606688,31.927356902638344,70.66,high
site_087,118.71830514197087,31.962444992307475,56.98,medium
site_088,118.78825566721054,32.00494992971392,59.0,medium
site_089,118.86848982255309,32.00754333204376,39.43,low
site_090,118.74385943944948,31.979500623037907,61.53,medium
site_091,118.8718345386402,31.91765784100216,47.2,low
site_092,118.84130226275774,31.921007098627385,57.47,medium
site_093,118.75807611097262,31.930678421860392,80.71,high
site_094,118.70102251138641,32.00916241033033,44.45,low
site_095,118.70634823686568,31.988379924901448,43.47,low
site_096,118.78316414126046,32.02096642214396,69.93,high
site_097,118.78195196288362,31.9811596697058,64.55,high
site_098,118.86193699109035,31.90161866150803,63.64,medium
site_099,118.72748867589583,32.024768247446055,48.98,low
